,resource,type,resource_attributes,ts,values
327719,5.948095306408936e+17,process,"[, , root, 191, kworker/11:1H-kblockd, linux, , param-workhorse, 2, param-workhorse]",1714641591000,"[0.0014303230013215814, 0.03666666666666667, 0.0, 0.0, 0.0, 0.0]"
327720,5.948095306408936e+17,process,"[root, param-workhorse, 191, kworker/11:1H-kblockd, , linux, 2, , , param-workhorse]",1714641596000,"[0.0, 0.0014293930587167033, 0.03666666666666667, 0.0, 0.0, 0.0]"
327721,5.948095306408936e+17,process,"[param-workhorse, 191, 2, , root, kworker/11:1H-kblockd, , , linux, param-workhorse]",1714641601000,"[0.0, 0.0014284673153728447, 0.03666666666666667, 0.0, 0.0, 0.0]"
327722,5.948095306408936e+17,process,"[param-workhorse, 2, , root, linux, param-workhorse, 191, , , kworker/11:1H-kblockd]",1714641606000,"[0.0, 0.0014275407970206415, 0.03666666666666667, 0.0, 0.0, 0.0]"
327723,5.948095306408936e+17,process,"[param-workhorse, 191, linux, root, param-workhorse, , , , 2, kworker/11:1H-kblockd]",1714641611000,"[0.0, 0.0014266101974188513, 0.03666666666666667, 0.0, 0.0, 0.0]"
327724,5.948095306408936e+17,process,"[param-workhorse, 191, kworker/11:1H-kblockd, , , param-workhorse, linux, , root, 2]",1714641616000,"[0.0, 0.0014256913823814065, 0.03666666666666667, 0.0, 0.0, 0.0]"
327725,5.948095306408936e+17,process,"[param-workhorse, 191, 2, , kworker/11:1H-kblockd, , root, param-workhorse, , linux]",1714641621000,"[0.0, 0.001424767043112025, 0.03666666666666667, 0.0, 0.0, 0.0]"
327726,5.948095306408936e+17,process,"[param-workhorse, 2, root, linux, param-workhorse, 191, kworker/11:1H-kblockd, , , ]",1714641626000,"[0.0, 0.001423840937199664, 0.03666666666666667, 0.0, 0.0, 0.0]"
327727,5.948095306408936e+17,process,"[2, kworker/11:1H-kblockd, , , linux, 191, param-workhorse, , param-workhorse, root]",1714641631000,"[0.0, 0.0014229234662474924, 0.03666666666666667, 0.0, 0.0, 0.0]"
327728,5.948095306408936e+17,process,"[2, , linux, , root, param-workhorse, 191, param-workhorse, , kworker/11:1H-events_highpri]",1714641636000,"[0.0, 0.0014220006567944687, 0.03666666666666667, 0.0, 0.0, 0.0]"
327729,5.948095306408936e+17,process,"[, param-workhorse, , kworker/11:1H-events_highpri, root, 191, linux, param-workhorse, 2, ]",1714641641000,"[0.0, 0.001421082705807667, 0.03666666666666667, 0.0, 0.0, 0.0]"
